phi,detJ,exp4w_cos2phi,abs_err
-6.283185307179586,20.08553692318767,20.085536923187668,3.552713678800501e-15
-5.890486225480862,14.202619362158774,14.202619362158764,1.0658141036401503e-14
-5.497787143782138,0.0,-8.609190975748214e-15,8.609190975748214e-15
-5.105088062083414,-14.202619362158774,-14.202619362158776,1.7763568394002505e-15
-4.71238898038469,-20.08553692318767,-20.085536923187668,3.552713678800501e-15
-4.319689898685965,-14.202619362158782,-14.202619362158767,1.4210854715202004e-14
-3.9269908169872414,0.0,6.149422125534439e-15,6.149422125534439e-15
-3.5342917352885173,14.20261936215879,14.202619362158787,3.552713678800501e-15
-3.141592653589793,20.085536923187675,20.085536923187668,7.105427357601002e-15
-2.748893571891069,14.202619362158782,14.20261936215878,1.7763568394002505e-15
-2.356194490192345,0.0,-3.689653275320663e-15,3.689653275320663e-15
-1.9634954084936207,-14.202619362158776,-14.202619362158787,1.0658141036401503e-14
-1.5707963267948966,-20.085536923187675,-20.085536923187668,7.105427357601002e-15
-1.1780972450961724,-14.20261936215878,-14.202619362158782,1.7763568394002505e-15
-0.7853981633974483,0.0,1.2298844251068877e-15,1.2298844251068877e-15
-0.39269908169872414,14.20261936215878,14.202619362158785,5.329070518200751e-15
0.0,20.08553692318768,20.085536923187668,1.0658141036401503e-14
0.39269908169872414,14.202619362158782,14.202619362158785,3.552713678800501e-15
0.7853981633974483,0.0,1.2298844251068877e-15,1.2298844251068877e-15
1.1780972450961724,-14.202619362158782,-14.202619362158782,0.0
1.5707963267948966,-20.085536923187675,-20.085536923187668,7.105427357601002e-15
1.9634954084936207,-14.202619362158782,-14.202619362158787,5.329070518200751e-15
2.356194490192345,0.0,-3.689653275320663e-15,3.689653275320663e-15
2.748893571891069,14.20261936215878,14.20261936215878,0.0
3.141592653589793,20.085536923187675,20.085536923187668,7.105427357601002e-15
3.5342917352885173,14.202619362158792,14.202619362158787,5.329070518200751e-15
3.9269908169872414,0.0,6.149422125534439e-15,6.149422125534439e-15
4.319689898685965,-14.202619362158778,-14.202619362158767,1.0658141036401503e-14
4.71238898038469,-20.085536923187668,-20.085536923187668,0.0
5.105088062083414,-14.202619362158778,-14.202619362158776,1.7763568394002505e-15
5.497787143782138,0.0,-8.609190975748214e-15,8.609190975748214e-15
5.890486225480862,14.202619362158782,14.202619362158764,1.7763568394002505e-14
6.283185307179586,20.085536923187675,20.085536923187668,7.105427357601002e-15
