seed_id,omega,theta,phi,rho,regularity_ok,final_mass,mass_half_radius,mass_90_radius,integrated_R
phi_slice_00,0.5,3.141592653589793,-6.283185307179586,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_01,0.5,3.141592653589793,-5.497787143782138,1.5707963267948966,True,0.1081724783796295,14.670099999999731,19.000100000000174,0.006919589880281665
phi_slice_02,0.5,3.141592653589793,-4.71238898038469,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_03,0.5,3.141592653589793,-3.9269908169872414,1.5707963267948966,True,0.10817247837962952,14.670099999999731,19.000100000000174,0.0069195898802816656
phi_slice_04,0.5,3.141592653589793,-3.141592653589793,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_05,0.5,3.141592653589793,-2.356194490192345,1.5707963267948966,True,0.1081724783796295,14.670099999999731,19.000100000000174,0.006919589880281665
phi_slice_06,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_07,0.5,3.141592653589793,-0.7853981633974483,1.5707963267948966,True,0.1081724783796295,14.670099999999731,19.000100000000174,0.006919589880281665
phi_slice_08,0.5,3.141592653589793,0.0,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_09,0.5,3.141592653589793,0.7853981633974483,1.5707963267948966,True,0.1081724783796295,14.670099999999731,19.000100000000174,0.006919589880281665
phi_slice_10,0.5,3.141592653589793,1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_11,0.5,3.141592653589793,2.356194490192344,1.5707963267948966,True,0.1081724783796295,14.670099999999731,19.000100000000174,0.006919589880281664
phi_slice_12,0.5,3.141592653589793,3.141592653589793,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_13,0.5,3.141592653589793,3.9269908169872423,1.5707963267948966,True,0.1081724783796295,14.670099999999731,19.000100000000174,0.006919589880281665
phi_slice_14,0.5,3.141592653589793,4.71238898038469,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
phi_slice_15,0.5,3.141592653589793,5.497787143782137,1.5707963267948966,True,0.10817247837962951,14.670099999999731,19.000100000000174,0.0069195898802816656
phi_slice_16,0.5,3.141592653589793,6.283185307179586,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
