phi,mass,status,r_final
-6.283185307179586,0.01992980014474819,0,9.9901
-5.385587406153931,1.9439101100035217,0,9.9901
-4.487989505128276,0.15832572790893654,0,9.9901
-3.5903916041026207,0.6705746624364858,0,9.9901
-2.6927937030769655,0.6705746617194495,0,9.9901
-1.7951958020513104,0.15832648109939193,0,9.9901
-0.8975979010256552,1.9439097996734978,0,9.9901
0.0,0.01992980139629557,0,9.9901
0.8975979010256552,1.9439097996734978,0,9.9901
1.7951958020513104,0.15832648109939193,0,9.9901
2.6927937030769655,0.6705746617194495,0,9.9901
3.5903916041026207,0.6705746624364858,0,9.9901
4.487989505128276,0.15832572790893654,0,9.9901
5.385587406153931,1.9439101100035217,0,9.9901
6.283185307179586,0.01992980014474819,0,9.9901
