theta,chi,E0
-6.283185307179586,0.7071067811865476,0.9093699942084978
-5.497787143782138,0.7071067811865476,0.9093699942084978
-4.71238898038469,0.7071067811865476,0.9093699942084978
-3.9269908169872414,0.7071067811865476,0.9093699942084978
-3.141592653589793,0.7071067811865476,0.9093699942084978
-2.356194490192345,0.7071067811865476,0.9093699942084978
-1.5707963267948966,0.7071067811865476,0.9093699942084978
-0.7853981633974483,0.7071067811865476,0.9093699942084978
0.0,0.7071067811865476,0.9093699942084978
0.7853981633974483,0.7071067811865476,0.9093699942084978
1.5707963267948966,0.7071067811865476,0.9093699942084978
2.356194490192344,0.7071067811865476,0.9093699942084978
3.141592653589793,0.7071067811865476,0.9093699942084978
3.9269908169872423,0.7071067811865476,0.9093699942084978
4.71238898038469,0.7071067811865476,0.9093699942084978
5.497787143782137,0.7071067811865476,0.9093699942084978
6.283185307179586,0.7071067811865476,0.9093699942084978
