theta,phi,profile_success,dm,pair_compactness
-6.283185307179586,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
-6.283185307179586,-2.0943951023931957,True,0.0003588990815955155,9.630999999999839
-6.283185307179586,2.094395102393195,True,0.0003588990815955155,9.630999999999839
-6.283185307179586,6.283185307179586,True,0.0003588990815955155,9.630999999999839
-2.0943951023931957,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
-2.0943951023931957,-2.0943951023931957,True,0.0003588990815955155,9.630999999999839
-2.0943951023931957,2.094395102393195,True,0.0003588990815955155,9.630999999999839
-2.0943951023931957,6.283185307179586,True,0.0003588990815955155,9.630999999999839
2.094395102393195,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
2.094395102393195,-2.0943951023931957,True,0.0003588990815955155,9.630999999999839
2.094395102393195,2.094395102393195,True,0.0003588990815955155,9.630999999999839
2.094395102393195,6.283185307179586,True,0.0003588990815955155,9.630999999999839
6.283185307179586,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
6.283185307179586,-2.0943951023931957,True,0.0003588990815955155,9.630999999999839
6.283185307179586,2.094395102393195,True,0.0003588990815955155,9.630999999999839
6.283185307179586,6.283185307179586,True,0.0003588990815955155,9.630999999999839
